Trial	Time	Perf loss	Spike loss	Mean activity	Test Accuracy
   5120	6.16	0.1043	0.0038	2.8583	0.4707
  10240	13.30	0.0864	0.0031	2.5638	0.5083
  15360	20.31	0.0846	0.0027	2.3770	0.5254
  20480	27.11	0.0842	0.0024	2.2339	0.5044
  25600	33.88	0.0840	0.0022	2.1265	0.5066
  30720	40.66	0.0838	0.0020	2.0262	0.5045
  35840	47.39	0.0836	0.0018	1.9449	0.4947
  40960	54.29	0.0835	0.0017	1.8720	0.5077
